feature,importance
loyalty_status_Platinum,0.06690982
loyalty_status_Silver,0.04213595
max_fare,0.041885976
trips_per_month,0.041798286
spend_per_trip,0.040838256
fare_std,0.04073215
surge_trip_ratio,0.039892185
riders_referred,0.03962905
tip_rate,0.039408293
loyalty_status_Gold,0.03887363
avg_duration,0.038249686
city_Cairo,0.03809663
total_tip,0.03797589
recency_at_cutoff,0.03749605
tenure_days,0.037158895
weekend_ratio,0.036966853
max_surge,0.036642503
duration_std,0.03663925
peak_hour_ratio,0.036013626
avg_surge,0.03582239
total_trips,0.035785735
city_Nairobi,0.034251165
avg_rating_given,0.031354897
total_spent,0.03134198
loyalty_status_Bronze,0.024641123
was_referred,0.022243872
city_Lagos,0.017215837
avg_time_on_app,0.0
trips_per_session,0.0
conversion_rate,0.0
time_on_app_std,0.0
session_trip_gap,0.0
