feature,importance
duration_std,0.06286908594012938
total_tip,0.061072014704061886
avg_duration,0.06102212784799385
spend_per_trip,0.06037108395869629
fare_std,0.05905951464327753
max_fare,0.058840402059426304
trips_per_month,0.05566250687983637
avg_surge,0.05565071773791184
total_spent,0.054583957144856976
peak_hour_ratio,0.05270825475850738
tenure_days,0.05244568022432824
tip_rate,0.05214569944359201
weekend_ratio,0.051705420900937896
surge_trip_ratio,0.04929616403640498
recency_at_cutoff,0.04850291073779409
avg_rating_given,0.037884229292185274
max_surge,0.03477994589595327
total_trips,0.030993492521064953
riders_referred,0.011168619173466317
was_referred,0.007992522422718655
loyalty_status_Bronze,0.007394424629001064
city_Cairo,0.007305600978026022
city_Nairobi,0.0071854149969978265
loyalty_status_Silver,0.006322998049570482
city_Lagos,0.006200006148217224
loyalty_status_Gold,0.004087247436272491
loyalty_status_Platinum,0.0027499574387714848
avg_time_on_app,0.0
trips_per_session,0.0
conversion_rate,0.0
time_on_app_std,0.0
session_trip_gap,0.0
